"","accession","domain","family","genome_type","host","isolate","order","size","subfamily","subgenome_type","topology","virus","Host_name","species_level"
"1","NC_009993","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis",NA,"Caudovirales",53746,NA,"Gilesvirus","linear","Mycobacterium phage Giles","Mycobacterium_smegmatis","Yes"
"2","NC_028986","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",153401,NA,"Bxz1virus","circular","Mycobacterium phage Alice","Mycobacterium_smegmatis","Yes"
"3","NC_028907","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68839,NA,"Pg1virus","linear","Mycobacterium phage Kikipoo","Mycobacterium_smegmatis","Yes"
"4","NC_028801","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68346,NA,"unclassified Pg1virus","linear","Mycobacterium phage Vortex","Mycobacterium_smegmatis","Yes"
"5","NC_028689","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",67774,NA,"Pg1virus","linear","Mycobacterium phage Colbert","Mycobacterium_smegmatis","Yes"
"6","NC_027985","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68016,NA,"Pg1virus","linear","Mycobacterium phage UncleHowie","Mycobacterium_smegmatis","Yes"
"7","NC_027365","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",58076,NA,"Tm4virus","linear","Mycobacterium virus Fionnbarth","Mycobacterium_smegmatis","Yes"
"8","NC_025433","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",58550,NA,"Che8virus","linear","Mycobacterium phage Taj","Mycobacterium_smegmatis","Yes"
"9","NC_023748","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53137,NA,"L5virus","linear","Mycobacterium phage SkiPole","Mycobacterium_smegmatis","Yes"
"10","NC_023747","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59672,NA,NA,"linear","Mycobacterium phage BarrelRoll","Mycobacterium_smegmatis","Yes"
